periods,quantity,time path,price
0,-0.5,0.0,0.75
1,0.96,0.77,0.02
2,-0.46,-0.02,0.73
3,0.93,0.79,0.04
4,-0.43,-0.04,0.71
5,0.89,0.81,0.05
6,-0.4,-0.06,0.7
7,0.86,0.83,0.07
8,-0.36,-0.09,0.68
9,0.83,0.86,0.08
10,-0.33,-0.11,0.67
11,0.8,0.88,0.1
12,-0.31,-0.13,0.65
13,0.77,0.91,0.11
14,-0.28,-0.16,0.64
15,0.75,0.93,0.13
16,-0.25,-0.19,0.63
17,0.72,0.96,0.14
18,-0.23,-0.22,0.61
19,0.7,0.99,0.15
20,-0.21,-0.25,0.6
21,0.68,1.03,0.16
22,-0.18,-0.28,0.59
23,0.65,1.06,0.17
24,-0.16,-0.32,0.58
25,0.63,1.09,0.18
26,-0.14,-0.35,0.57
27,0.61,1.13,0.19
28,-0.12,-0.39,0.56
29,0.6,1.17,0.2
30,-0.11,-0.43,0.55
31,0.58,1.21,0.21
32,-0.09,-0.47,0.54
33,0.56,1.26,0.22
34,-0.07,-0.52,0.54
35,0.55,1.3,0.23
36,-0.06,-0.57,0.53
37,0.53,1.35,0.23
38,-0.04,-0.61,0.52
39,0.52,1.4,0.24
40,-0.03,-0.67,0.51
41,0.5,1.45,0.25
42,-0.02,-0.72,0.51
43,0.49,1.51,0.26
44,-0.0,-0.78,0.5
45,0.48,1.57,0.26
46,0.01,-0.84,0.5
47,0.47,1.63,0.27
48,0.02,-0.9,0.49
49,0.45,1.69,0.27
50,0.03,-0.97,0.48
51,0.44,1.76,0.28
52,0.04,-1.04,0.48
53,0.43,1.83,0.28
54,0.05,-1.11,0.47
55,0.42,1.91,0.29
56,0.06,-1.19,0.47
57,0.42,1.99,0.29
58,0.07,-1.27,0.47
59,0.41,2.07,0.3
60,0.08,-1.35,0.46
61,0.4,2.16,0.3
62,0.09,-1.45,0.46
63,0.39,2.25,0.3
64,0.09,-1.54,0.45
65,0.38,2.35,0.31
66,0.1,-1.64,0.45
67,0.38,2.45,0.31
68,0.11,-1.74,0.45
69,0.37,2.56,0.32
70,0.11,-1.85,0.44
71,0.36,2.67,0.32
72,0.12,-1.97,0.44
73,0.36,2.79,0.32
74,0.13,-2.09,0.44
75,0.35,2.92,0.32
76,0.13,-2.22,0.43
77,0.35,3.05,0.33
78,0.14,-2.36,0.43
79,0.34,3.19,0.33
80,0.14,-2.5,0.43
81,0.34,3.33,0.33
82,0.15,-2.65,0.43
83,0.33,3.49,0.33
84,0.15,-2.81,0.42
85,0.33,3.65,0.34
86,0.16,-2.97,0.42
87,0.32,3.82,0.34
88,0.16,-3.14,0.42
89,0.32,3.99,0.34
90,0.16,-3.33,0.42
91,0.31,4.18,0.34
92,0.17,-3.52,0.42
93,0.31,4.38,0.34
94,0.17,-3.72,0.41
95,0.31,4.59,0.35
96,0.18,-3.94,0.41
97,0.3,4.81,0.35
98,0.18,-4.16,0.41
99,0.3,5.04,0.35
100,0.18,-4.4,0.41
101,0.3,5.28,0.35
102,0.18,-4.64,0.41
103,0.3,5.53,0.35
104,0.19,-4.9,0.41
105,0.29,5.8,0.35
106,0.19,-5.18,0.41
107,0.29,6.08,0.36
108,0.19,-5.47,0.4
109,0.29,6.38,0.36
110,0.19,-5.77,0.4
111,0.29,6.69,0.36
112,0.2,-6.09,0.4
113,0.28,7.02,0.36
114,0.2,-6.43,0.4
115,0.28,7.36,0.36
116,0.2,-6.78,0.4
117,0.28,7.72,0.36
118,0.2,-7.15,0.4
119,0.28,8.11,0.36
120,0.21,-7.54,0.4
121,0.28,8.51,0.36
122,0.21,-7.96,0.4
123,0.27,8.93,0.36
124,0.21,-8.39,0.4
125,0.27,9.37,0.36
126,0.21,-8.84,0.39
127,0.27,9.84,0.36
128,0.21,-9.32,0.39
129,0.27,10.33,0.37
130,0.21,-9.83,0.39
131,0.27,10.85,0.37
132,0.21,-10.36,0.39
133,0.27,11.39,0.37
134,0.22,-10.91,0.39
135,0.26,11.96,0.37
136,0.22,-11.5,0.39
137,0.26,12.57,0.37
138,0.22,-12.12,0.39
139,0.26,13.2,0.37
140,0.22,-12.77,0.39
141,0.26,13.86,0.37
142,0.22,-13.45,0.39
143,0.26,14.56,0.37
144,0.22,-14.17,0.39
145,0.26,15.3,0.37
146,0.22,-14.92,0.39
147,0.26,16.08,0.37
148,0.22,-15.72,0.39
149,0.26,16.89,0.37
150,0.22,-16.56,0.39
151,0.26,17.75,0.37
152,0.22,-17.44,0.39
153,0.26,18.65,0.37
154,0.23,-18.36,0.39
155,0.26,19.6,0.37
156,0.23,-19.33,0.39
157,0.25,20.6,0.37
158,0.23,-20.36,0.39
159,0.25,21.65,0.37
160,0.23,-21.44,0.39
161,0.25,22.75,0.37
162,0.23,-22.57,0.39
163,0.25,23.92,0.37
164,0.23,-23.76,0.39
165,0.25,25.14,0.37
166,0.23,-25.01,0.39
167,0.25,26.42,0.37
168,0.23,-26.33,0.39
169,0.25,27.78,0.37
170,0.23,-27.72,0.38
171,0.25,29.2,0.37
172,0.23,-29.18,0.38
173,0.25,30.7,0.38
